index,Height,Height (m),Weight,BMI
108,166,1.66,66,23.95122659
109,144,1.44,28,13.50308642
110,140,1.4,98,50
111,169,1.69,92,32.21175729
112,178,1.78,84,26.51180407
113,178,1.78,91,28.72112107
114,155,1.55,35,14.56815817
115,144,1.44,35,16.87885802
116,157,1.57,99,40.16390117
117,172,1.72,33,11.1546782
118,170,1.7,71,24.56747405
119,163,1.63,41,15.43151793
120,155,1.55,33,13.73569199
121,142,1.42,38,18.84546717
122,148,1.48,56,25.56610665
123,166,1.66,96,34.83814777
124,149,1.49,52,23.42236836
125,165,1.65,97,35.62901745
126,170,1.7,29,10.03460208
127,151,1.51,70,30.70040788
128,164,1.64,81,30.11600238
129,171,1.71,82,28.04281659
130,167,1.67,59,21.1552942
131,170,1.7,65,22.49134948
132,180,1.8,43,13.27160494
133,159,1.59,94,37.18207349
134,165,1.65,31,11.3865932
135,163,1.63,73,27.47562949
136,163,1.63,85,31.99217133
137,171,1.71,86,29.41075887
138,150,1.5,79,35.11111111
139,165,1.65,67,24.6097337
140,174,1.74,68,22.46003435
141,175,1.75,72,23.51020408
142,172,1.72,26,8.788534343
143,168,1.68,89,31.53344671
144,146,1.46,64,30.02439482
145,175,1.75,91,29.71428571
146,178,1.78,25,7.890417877
147,178,1.78,100,31.56167151
148,142,1.42,74,36.69906765
149,146,1.46,87,40.81441171
150,153,1.53,33,14.09714212
151,151,1.51,40,17.54309022
152,144,1.44,25,12.05632716
153,141,1.41,58,29.17358282
154,149,1.49,97,43.6917256
155,173,1.73,80,26.7299275
156,145,1.45,46,21.87871581
157,170,1.7,30,10.38062284
158,149,1.49,87,39.18742399
159,159,1.59,98,38.76428939
160,179,1.79,58,18.10180706
161,154,1.54,92,38.79237645
162,173,1.73,26,8.687226436
163,144,1.44,35,16.87885802
164,155,1.55,44,18.31425598
165,173,1.73,58,19.37919743
166,175,1.75,71,23.18367347
167,175,1.75,62,20.24489796
168,154,1.54,48,20.23950076
169,165,1.65,65,23.87511478
170,165,1.65,50,18.36547291
171,175,1.75,38,12.40816327
172,156,1.56,51,20.9566075
173,148,1.48,75,34.2403214
174,175,1.75,44,14.36734694
175,179,1.79,86,26.84061047
176,154,1.54,56,23.61275089
177,172,1.72,48,16.22498648
178,152,1.52,44,19.04432133
179,177,1.77,67,21.38593635
180,140,1.4,87,44.3877551
181,160,1.6,42,16.40625
182,159,1.59,99,39.15984336
183,148,1.48,69,31.50109569
184,150,1.5,57,25.33333333
185,156,1.56,56,23.01117686
186,156,1.56,36,14.79289941
187,149,1.49,90,40.53871447
188,165,1.65,79,29.0174472
189,161,1.61,54,20.83252961
190,159,1.59,34,13.44883509
191,150,1.5,72,32
192,144,1.44,45,21.70138889
193,142,1.42,94,46.61773458
194,148,1.48,76,34.69685902
195,173,1.73,33,11.02609509
196,148,1.48,26,11.86997809
197,174,1.74,30,9.908838684
198,141,1.41,68,34.20351089
199,143,1.43,69,33.74248129
200,152,1.52,83,35.92451524
201,166,1.66,90,32.66076354
202,165,1.65,39,14.32506887
203,156,1.56,49,20.13477975
204,150,1.5,86,38.22222222
205,142,1.42,96,47.60960127
206,172,1.72,79,26.70362358
207,180,1.8,52,16.04938272
208,176,1.76,50,16.14152893
209,145,1.45,40,19.02497027
210,170,1.7,25,8.650519031
211,156,1.56,95,39.03681788
212,143,1.43,69,33.74248129
213,172,1.72,31,10.4786371
214,145,1.45,32,15.21997622
215,158,1.58,65,26.03749399
216,155,1.55,45,18.73048907
217,144,1.44,84,40.50925926
218,169,1.69,54,18.90690102
219,161,1.61,34,13.1167779
220,165,1.65,80,29.38475666
221,173,1.73,51,17.04032878
222,155,1.55,56,23.30905307
223,142,1.42,81,40.17060107
224,155,1.55,52,21.64412071
225,170,1.7,94,32.52595156
226,143,1.43,94,45.968018
227,178,1.78,57,17.99015276
228,171,1.71,25,8.549639205
229,151,1.51,50,21.92886277
230,164,1.64,26,9.666864961
231,170,1.7,66,22.83737024
232,150,1.5,34,15.11111111
233,148,1.48,70,31.95763331
234,154,1.54,30,12.64968797
235,172,1.72,36,12.16873986
236,151,1.51,93,40.78768475
237,162,1.62,83,31.62627648
238,173,1.73,31,10.3578469
239,165,1.65,27,9.917355372
240,143,1.43,83,40.58878185
241,165,1.65,42,15.42699725
242,161,1.61,41,15.817291
243,180,1.8,97,29.9382716
244,170,1.7,97,33.56401384
245,155,1.55,65,27.05515088
246,156,1.56,88,36.16042078
247,157,1.57,71,28.80441397
248,153,1.53,43,18.36900337
249,173,1.73,75,25.05930703
250,153,1.53,32,13.669956
251,163,1.63,54,20.32443826
252,148,1.48,73,33.32724617
253,148,1.48,53,24.19649379
254,166,1.66,44,15.9674844
255,152,1.52,76,32.89473684
256,144,1.44,35,16.87885802
257,148,1.48,33,15.06574142
258,145,1.45,83,39.47681332
259,162,1.62,94,35.81771071
260,157,1.57,62,25.15315023
261,145,1.45,36,17.12247325
262,169,1.69,92,32.21175729
263,163,1.63,45,16.93703188
264,156,1.56,32,13.14924392
265,149,1.49,85,38.28656367
266,140,1.4,46,23.46938776
267,178,1.78,62,19.56823633
268,166,1.66,37,13.42720279
269,144,1.44,94,45.33179012
270,177,1.77,77,24.57786715
271,152,1.52,84,36.35734072
272,180,1.8,81,25
273,161,1.61,100,38.57875854
274,155,1.55,36,14.98439126
275,171,1.71,76,25.99090318
276,149,1.49,60,27.02580965
277,156,1.56,43,17.66929652
278,145,1.45,55,26.15933413
279,172,1.72,46,15.54894538
280,169,1.69,65,22.75830678
281,157,1.57,75,30.42719786
282,152,1.52,32,13.85041551
283,158,1.58,100,40.05768306
284,156,1.56,72,29.58579882
285,153,1.53,95,40.58268187
286,164,1.64,73,27.14158239
287,171,1.71,70,23.93898977
288,148,1.48,78,35.60993426
289,163,1.63,34,12.79686853
290,180,1.8,56,17.28395062
291,168,1.68,70,24.8015873
292,160,1.6,93,36.328125
293,155,1.55,90,37.46097815
294,147,1.47,53,24.52681753
295,140,1.4,42,21.42857143
296,140,1.4,31,15.81632653
297,151,1.51,74,32.4547169
298,163,1.63,83,31.23941436
299,153,1.53,33,14.09714212
300,171,1.71,65,22.22906193
301,177,1.77,91,29.04657027
302,165,1.65,91,33.4251607
303,180,1.8,78,24.07407407
304,153,1.53,27,11.53402537
305,160,1.6,64,25
306,144,1.44,31,14.94984568
307,165,1.65,81,29.75206612
308,145,1.45,80,38.04994055
309,165,1.65,46,16.89623508
310,161,1.61,38,14.65992824
311,173,1.73,58,19.37919743
312,180,1.8,79,24.38271605
313,178,1.78,67,21.14631991
314,180,1.8,100,30.86419753
315,166,1.66,57,20.68515024
316,140,1.4,61,31.12244898
317,173,1.73,27,9.02135053
318,156,1.56,30,12.32741617
319,173,1.73,100,33.41240937
320,154,1.54,43,18.13121943
321,172,1.72,44,14.87290427
322,142,1.42,30,14.8780004
323,169,1.69,25,8.753194916
324,142,1.42,87,43.14620115
325,153,1.53,27,11.53402537
326,154,1.54,86,36.26243886
327,150,1.5,35,15.55555556
328,147,1.47,56,25.91512796
329,160,1.6,64,25
330,149,1.49,80,36.03441286
331,180,1.8,90,27.77777778
332,176,1.76,39,12.59039256
333,162,1.62,80,30.48315806
334,166,1.66,93,33.74945565
335,145,1.45,58,27.5862069
336,166,1.66,94,34.11235303
337,177,1.77,44,14.04449552
338,151,1.51,27,11.8415859
339,180,1.8,98,30.24691358
340,142,1.42,45,22.3170006
341,168,1.68,90,31.8877551
342,166,1.66,77,27.94309769
343,159,1.59,68,26.89767019
344,152,1.52,61,26.40235457
345,159,1.59,38,15.03105099
346,148,1.48,70,31.95763331
347,164,1.64,48,17.84651993
348,150,1.5,38,16.88888889
349,179,1.79,44,13.73240536
350,166,1.66,26,9.435331688
351,166,1.66,27,9.798229061
352,180,1.8,47,14.50617284
353,154,1.54,90,37.94906392
354,173,1.73,81,27.06405159
355,140,1.4,74,37.75510204
356,141,1.41,80,40.23942458
357,168,1.68,83,29.40759637
358,162,1.62,64,24.38652644
359,141,1.41,45,22.63467632
360,176,1.76,37,11.9447314
361,177,1.77,33,10.53337164
362,168,1.68,95,33.65929705
363,142,1.42,57,28.26820075
364,145,1.45,58,27.5862069
365,153,1.53,93,39.72830962
366,155,1.55,90,37.46097815
367,147,1.47,83,38.40992179
368,159,1.59,57,22.54657648
369,152,1.52,40,17.31301939
370,141,1.41,97,48.7903023
371,162,1.62,87,33.15043439
372,162,1.62,49,18.67093431
373,159,1.59,58,22.94213045
374,174,1.74,64,21.13885586
375,160,1.6,94,36.71875
376,173,1.73,56,18.71094925
377,148,1.48,74,33.78378378
378,173,1.73,58,19.37919743
379,154,1.54,39,16.44459437
380,150,1.5,73,32.44444444
381,163,1.63,43,16.18427491
382,169,1.69,59,20.65754
383,151,1.51,46,20.17455375
384,160,1.6,76,29.6875
385,172,1.72,73,24.67550027
386,143,1.43,94,45.968018
387,166,1.66,35,12.70140804
388,155,1.55,29,12.07075963
389,146,1.46,34,15.95045975
390,151,1.51,62,27.19178983
391,147,1.47,72,33.31945023
392,154,1.54,54,22.76943835
393,147,1.47,25,11.56925355
394,147,1.47,27,12.49479384
395,170,1.7,53,18.33910035
396,165,1.65,66,24.24242424
397,175,1.75,45,14.69387755
398,172,1.72,91,30.7598702
399,160,1.6,100,39.0625
400,169,1.69,94,32.91201288
401,154,1.54,40,16.86625063
402,165,1.65,49,17.99816345
403,173,1.73,41,13.69908784
404,167,1.67,63,22.58955144
405,173,1.73,50,16.70620468
406,166,1.66,74,26.85440557
407,151,1.51,100,43.85772554
408,144,1.44,42,20.25462963
409,179,1.79,60,18.7260073
410,180,1.8,37,11.41975309
411,159,1.59,58,22.94213045
412,170,1.7,60,20.76124567
413,179,1.79,26,8.114603165
414,170,1.7,92,31.83391003
415,152,1.52,46,19.9099723
416,162,1.62,65,24.76756592
417,143,1.43,62,30.31933102
418,146,1.46,79,37.06136236
419,158,1.58,88,35.2507611
420,145,1.45,46,21.87871581
421,145,1.45,66,31.39120095
422,153,1.53,77,32.89333162
423,165,1.65,73,26.81359045
424,171,1.71,51,17.44126398
425,174,1.74,57,18.8267935
426,154,1.54,94,39.63568899
427,166,1.66,38,13.79010016
428,177,1.77,30,9.575792397
429,162,1.62,60,22.86236854
430,162,1.62,82,31.24523701
431,166,1.66,62,22.4996371
432,177,1.77,28,8.937406237
433,177,1.77,85,27.13141179
434,160,1.6,45,17.578125
435,176,1.76,55,17.75568182
436,171,1.71,86,29.41075887
437,175,1.75,73,23.83673469
438,168,1.68,70,24.8015873
439,171,1.71,88,30.09473
440,154,1.54,97,40.90065778
441,142,1.42,37,18.34953382
442,164,1.64,90,33.46222487
443,179,1.79,52,16.22920633
444,179,1.79,93,29.02531132
445,151,1.51,84,36.84048945
446,163,1.63,74,27.85200798
447,147,1.47,75,34.70776066
448,169,1.69,100,35.01277966
449,152,1.52,99,42.84972299
450,142,1.42,28,13.8861337
451,176,1.76,56,18.0785124
452,141,1.41,39,19.61671948
453,168,1.68,32,11.33786848
454,145,1.45,91,43.28180737
455,171,1.71,76,25.99090318
456,144,1.44,72,34.72222222
457,167,1.67,96,34.42217362
458,145,1.45,77,36.62306778
459,157,1.57,98,39.7582052
460,140,1.4,59,30.10204082
461,140,1.4,51,26.02040816
462,167,1.67,47,16.8525225
463,165,1.65,69,25.34435262
464,148,1.48,92,42.00146092
465,156,1.56,95,39.03681788
466,180,1.8,91,28.08641975
467,169,1.69,88,30.8112461
468,162,1.62,28,10.66910532
469,175,1.75,82,26.7755102
470,157,1.57,27,10.95379123
471,159,1.59,98,38.76428939
472,141,1.41,51,25.65263317
473,150,1.5,87,38.66666667
474,155,1.55,41,17.06555671
475,173,1.73,92,30.73941662
476,179,1.79,82,25.59220998
477,170,1.7,57,19.72318339
478,162,1.62,37,14.0984606
479,157,1.57,94,38.13542132
480,153,1.53,48,20.504934
481,152,1.52,28,12.11911357
482,153,1.53,90,38.44675125
483,167,1.67,93,33.34648069
484,154,1.54,76,32.0458762
485,174,1.74,85,28.07504294
486,151,1.51,26,11.40300864
487,169,1.69,91,31.86162949
488,167,1.67,48,17.21108681
489,151,1.51,54,23.68317179
490,175,1.75,63,20.57142857
491,146,1.46,43,20.17264027
492,145,1.45,63,29.96432818
493,146,1.46,91,42.69093639
494,176,1.76,87,28.08626033
495,175,1.75,98,32
496,168,1.68,25,8.857709751
497,165,1.65,32,11.75390266
498,147,1.47,81,37.48438151
499,175,1.75,76,24.81632653
500,141,1.41,100,50.29928072
501,177,1.77,86,27.45060487
502,175,1.75,49,16
503,140,1.4,80,40.81632653
504,169,1.69,64,22.40817899
505,174,1.74,50,16.51473114
506,144,1.44,93,44.84953704
507,142,1.42,80,39.67466772
508,155,1.55,63,26.2226847
509,148,1.48,85,38.80569759
510,149,1.49,59,26.57537949
511,165,1.65,62,22.77318641
512,159,1.59,60,23.7332384
513,169,1.69,83,29.06060712
514,169,1.69,40,14.00511187
515,168,1.68,49,17.36111111
516,143,1.43,94,45.968018
517,159,1.59,67,26.50211621
518,156,1.56,82,33.69493754
519,152,1.52,97,41.98407202
520,156,1.56,77,31.64036818
521,151,1.51,30,13.15731766
522,177,1.77,31,9.894985477
523,147,1.47,80,37.02161137
524,180,1.8,87,26.85185185
525,167,1.67,54,19.36247266
526,154,1.54,35,14.7579693
527,158,1.58,78,31.24499279
528,162,1.62,28,10.66910532
529,144,1.44,41,19.77237654
530,163,1.63,28,10.53859761
531,151,1.51,72,31.57756239
532,162,1.62,64,24.38652644
533,163,1.63,92,34.62682073
534,149,1.49,28,12.6120445
535,162,1.62,29,11.0501448
536,176,1.76,56,18.0785124
537,151,1.51,37,16.22735845
538,152,1.52,28,12.11911357
539,154,1.54,42,17.70956316
540,142,1.42,48,23.80480063
541,178,1.78,25,7.890417877
542,177,1.77,59,18.83239171
543,140,1.4,67,34.18367347
544,163,1.63,48,18.06616734
545,153,1.53,63,26.91272587
546,141,1.41,53,26.65861878
547,179,1.79,92,28.7132112
548,162,1.62,84,32.00731596
549,174,1.74,63,20.80856124
550,155,1.55,93,38.70967742
551,177,1.77,57,18.19400555
552,140,1.4,50,25.51020408
553,168,1.68,72,25.51020408
554,146,1.46,49,22.98742728
555,173,1.73,47,15.7038324
556,140,1.4,52,26.53061224
557,140,1.4,75,38.26530612
558,178,1.78,45,14.20275218
559,174,1.74,41,13.54207953
560,165,1.65,29,10.65197429
561,145,1.45,63,29.96432818
562,151,1.51,48,21.05170826
563,176,1.76,94,30.34607438
564,173,1.73,91,30.40529253
565,142,1.42,89,44.13806784
566,156,1.56,90,36.98224852
567,159,1.59,50,19.77769867
568,147,1.47,90,41.64931279
569,160,1.6,30,11.71875
570,166,1.66,25,9.072434316
571,141,1.41,55,27.6646044
572,172,1.72,89,30.0838291
573,143,1.43,48,23.47303047
574,150,1.5,81,36
575,165,1.65,39,14.32506887
576,179,1.79,64,19.97440779
577,160,1.6,90,35.15625
578,142,1.42,75,37.19500099
579,170,1.7,36,12.4567474
580,157,1.57,30,12.17087914
581,168,1.68,74,26.21882086
582,159,1.59,89,35.20430363
583,161,1.61,30,11.57362756
584,143,1.43,25,12.2255367
585,170,1.7,67,23.183391
586,178,1.78,82,25.88057064
587,143,1.43,49,23.96205193
588,141,1.41,93,46.77833107
589,145,1.45,45,21.40309156
590,160,1.6,57,22.265625
591,148,1.48,77,35.15339664
592,162,1.62,72,27.43484225
593,172,1.72,84,28.39372634
594,180,1.8,54,16.66666667
595,161,1.61,81,31.24879441
596,177,1.77,93,29.68495643
597,152,1.52,49,21.20844875
598,162,1.62,46,17.52781588
599,158,1.58,54,21.63114885
600,155,1.55,79,32.88241415
601,174,1.74,28,9.248249438
602,143,1.43,83,40.58878185
603,178,1.78,41,12.94028532
604,153,1.53,87,37.16519287
605,156,1.56,38,15.61472715
606,142,1.42,40,19.83733386
607,159,1.59,84,33.22653376
608,144,1.44,100,48.22530864
609,173,1.73,71,23.72281065
610,141,1.41,54,27.16161159
611,141,1.41,74,37.22146773
612,144,1.44,56,27.00617284
613,154,1.54,60,25.29937595
614,174,1.74,46,15.19355265
615,167,1.67,59,21.1552942
616,146,1.46,36,16.88872209
617,163,1.63,72,27.09925101
618,165,1.65,43,15.7943067
619,163,1.63,41,15.43151793
620,174,1.74,26,8.587660193
621,169,1.69,84,29.41073492
622,147,1.47,66,30.54282938
623,167,1.67,60,21.51385851
624,175,1.75,80,26.12244898
625,166,1.66,46,16.69327914
626,147,1.47,96,44.42593364
627,142,1.42,63,31.24380083
628,172,1.72,57,19.26717144
629,156,1.56,64,26.29848784
630,173,1.73,57,19.04507334
631,163,1.63,88,33.12130679
632,151,1.51,77,33.77044866
633,171,1.71,51,17.44126398
634,142,1.42,67,33.22753422
635,144,1.44,80,38.58024691
636,142,1.42,82,40.66653442
637,144,1.44,67,32.31095679
638,162,1.62,36,13.71742112
639,150,1.5,94,41.77777778
640,172,1.72,31,10.4786371
641,143,1.43,41,20.04988019
642,171,1.71,27,9.233610342
643,163,1.63,58,21.8299522
644,180,1.8,51,15.74074074
645,150,1.5,52,23.11111111
646,177,1.77,74,23.62028791
647,168,1.68,29,10.27494331
648,169,1.69,68,23.80869017
649,146,1.46,34,15.95045975
650,156,1.56,33,13.56015779
651,149,1.49,98,44.14215576
652,168,1.68,66,23.38435374
653,170,1.7,74,25.60553633
654,163,1.63,67,25.21735858
655,152,1.52,60,25.96952909
656,165,1.65,82,30.11937557
657,178,1.78,81,25.56495392
658,159,1.59,61,24.12879237
659,172,1.72,39,13.18280151
660,152,1.52,34,14.71606648
661,148,1.48,64,29.2184076
662,175,1.75,89,29.06122449
663,157,1.57,26,10.54809526
664,158,1.58,55,22.03172568
665,156,1.56,69,28.3530572
666,161,1.61,58,22.37567995
667,146,1.46,59,27.67873898
668,154,1.54,38,16.0229381
669,140,1.4,29,14.79591837
670,141,1.41,89,44.76635984
671,141,1.41,51,25.65263317
672,153,1.53,61,26.05835362
673,173,1.73,88,29.40292024
674,149,1.49,80,36.03441286
675,166,1.66,44,15.9674844
676,142,1.42,25,12.39833366
677,149,1.49,65,29.27796045
678,168,1.68,37,13.10941043
679,163,1.63,60,22.58270917
680,147,1.47,38,17.5852654
681,142,1.42,72,35.70720095
682,172,1.72,94,31.77393186
683,142,1.42,47,23.30886729
684,164,1.64,59,21.93634741
685,147,1.47,37,17.12249526
686,146,1.46,51,23.92568962
687,172,1.72,72,24.33747972
688,157,1.57,90,36.51263743
689,141,1.41,92,46.27533826
690,161,1.61,74,28.54828132
691,141,1.41,97,48.7903023
692,162,1.62,94,35.81771071
693,145,1.45,51,24.2568371
694,171,1.71,39,13.33743716
695,167,1.67,70,25.0995016
696,161,1.61,42,16.20307858
697,162,1.62,38,14.47950008
698,171,1.71,83,28.38480216
699,153,1.53,40,17.087445
700,175,1.75,27,8.816326531
701,160,1.6,64,25
702,175,1.75,97,31.67346939
703,147,1.47,98,45.35147392
704,177,1.77,62,19.78997095
705,165,1.65,85,31.22130395
706,147,1.47,57,26.3778981
707,147,1.47,76,35.1705308
708,142,1.42,31,15.37393374
709,174,1.74,26,8.587660193
710,178,1.78,90,28.40550436
711,143,1.43,74,36.18758864
712,179,1.79,53,16.54130645
713,174,1.74,29,9.578544061
714,156,1.56,33,13.56015779
715,174,1.74,87,28.73563218
716,172,1.72,39,13.18280151
717,172,1.72,75,25.35154137
718,166,1.66,70,25.40281608
719,180,1.8,75,23.14814815
720,147,1.47,52,24.06404739
721,165,1.65,98,35.99632691
722,152,1.52,49,21.20844875
723,171,1.71,36,12.31148046
724,177,1.77,45,14.3636886
725,165,1.65,50,18.36547291
726,148,1.48,40,18.26150475
727,166,1.66,47,17.05617651
728,172,1.72,81,27.37966468
729,169,1.69,56,19.60715661
730,179,1.79,70,21.84700852
731,158,1.58,54,21.63114885
732,155,1.55,87,36.21227888
733,157,1.57,77,31.2385898
734,156,1.56,36,14.79289941
735,163,1.63,60,22.58270917
736,174,1.74,83,27.41445369
737,159,1.59,29,11.47106523
738,175,1.75,90,29.3877551
739,161,1.61,39,15.04571583
740,172,1.72,69,23.32341806
741,172,1.72,100,33.80205516
742,156,1.56,62,25.47666009
743,179,1.79,41,12.79610499
744,145,1.45,77,36.62306778
745,140,1.4,87,44.3877551
746,154,1.54,96,40.47900152
747,148,1.48,44,20.08765522
748,160,1.6,93,36.328125
749,162,1.62,94,35.81771071
750,145,1.45,68,32.34244946
751,180,1.8,67,20.67901235
752,154,1.54,57,24.03440715
753,162,1.62,41,15.6226185
754,168,1.68,25,8.857709751
755,178,1.78,44,13.88713546
756,172,1.72,82,27.71768524
757,146,1.46,61,28.61700131
758,152,1.52,67,28.99930748
759,140,1.4,65,33.16326531
760,157,1.57,96,38.94681326
761,174,1.74,50,16.51473114
762,175,1.75,32,10.44897959
763,174,1.74,84,27.74474832
764,166,1.66,35,12.70140804
765,158,1.58,95,38.05479891
766,144,1.44,83,40.02700617
767,179,1.79,60,18.7260073
768,145,1.45,79,37.57431629
769,143,1.43,55,26.89618074
770,149,1.49,89,40.08828431
771,169,1.69,62,21.70792339
772,151,1.51,45,19.73597649
773,172,1.72,92,31.09789075
774,177,1.77,88,28.08899103
775,145,1.45,77,36.62306778
776,144,1.44,93,44.84953704
777,169,1.69,74,25.90945695
778,170,1.7,93,32.1799308
779,180,1.8,33,10.18518519
780,171,1.71,51,17.44126398
781,148,1.48,97,44.28414901
782,145,1.45,81,38.5255648
783,144,1.44,69,33.27546296
784,143,1.43,26,12.71455817
785,166,1.66,79,28.66889244
786,165,1.65,89,32.69054178
787,144,1.44,53,25.55941358
788,161,1.61,29,11.18783998
789,145,1.45,56,26.63495838
790,155,1.55,31,12.90322581
791,166,1.66,59,21.41094498
792,145,1.45,83,39.47681332
793,170,1.7,32,11.07266436
794,161,1.61,69,26.61934339
795,171,1.71,92,31.46267228
796,167,1.67,58,20.79672989
797,168,1.68,61,21.61281179
798,154,1.54,70,29.51593861
799,154,1.54,77,32.46753247
800,153,1.53,51,21.78649237
801,173,1.73,83,27.73229978
802,165,1.65,36,13.2231405
803,177,1.77,83,26.49302563
804,167,1.67,27,9.68123633
805,179,1.79,88,27.46481071
806,144,1.44,100,48.22530864
807,179,1.79,41,12.79610499
808,175,1.75,98,32
809,156,1.56,36,14.79289941
810,147,1.47,39,18.04803554
811,178,1.78,98,30.93043808
812,179,1.79,94,29.33741144
813,142,1.42,50,24.79666733
814,169,1.69,61,21.3577956
815,162,1.62,52,19.81405274
816,141,1.41,36,18.10774106
817,149,1.49,72,32.43097158
818,155,1.55,96,39.95837669
819,153,1.53,96,41.009868
820,171,1.71,80,27.35884546
821,167,1.67,52,18.64534404
822,145,1.45,68,32.34244946
823,178,1.78,38,11.99343517
824,149,1.49,95,42.79086528
825,144,1.44,50,24.11265432
826,169,1.69,49,17.15626204
827,151,1.51,84,36.84048945
828,164,1.64,73,27.14158239
829,170,1.7,58,20.06920415
830,140,1.4,93,47.44897959
831,179,1.79,81,25.28010986
832,145,1.45,72,34.24494649
833,175,1.75,74,24.16326531
834,153,1.53,36,15.3787005
835,154,1.54,36,15.17962557
836,161,1.61,48,18.5178041
837,175,1.75,29,9.469387755
838,170,1.7,69,23.87543253
839,160,1.6,100,39.0625
840,163,1.63,91,34.25044224
841,177,1.77,43,13.72530244
842,153,1.53,73,31.18458712
843,147,1.47,89,41.18654264
844,177,1.77,77,24.57786715
845,162,1.62,36,13.71742112
846,153,1.53,60,25.6311675
847,173,1.73,87,29.06879615
848,179,1.79,83,25.9043101
849,169,1.69,25,8.753194916
850,161,1.61,41,15.817291
851,172,1.72,76,25.68956193
852,154,1.54,70,29.51593861
853,152,1.52,55,23.80540166
854,141,1.41,35,17.60474825
855,159,1.59,30,11.8666192
856,155,1.55,65,27.05515088
857,143,1.43,30,14.67064404
858,156,1.56,64,26.29848784
859,153,1.53,98,41.86424025
860,156,1.56,37,15.20381328
861,152,1.52,75,32.46191136
862,180,1.8,87,26.85185185
863,170,1.7,86,29.75778547
864,168,1.68,53,18.77834467
865,143,1.43,60,29.34128808
866,148,1.48,99,45.19722425
867,144,1.44,98,47.26080247
868,173,1.73,39,13.03083965
869,180,1.8,50,15.43209877
870,169,1.69,58,20.30741221
871,168,1.68,86,30.47052154
872,174,1.74,85,28.07504294
873,151,1.51,87,38.15622122
874,148,1.48,89,40.63184806
875,152,1.52,97,41.98407202
